date,HHA11AS001XQ01,HHA31AS001XQ01,HHA51AS001XQ01,HHA71AS001XQ01,HHA81AS001XQ01,HNA00AA001AXQ01,HNA00AA002AXQ01,LAF14CG101XQ01,LAF31CG101XQ01,LAF33CG101XQ01
2016/3/1 2:07,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 2:08,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 2:09,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 2:10,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 2:11,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 2:12,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 2:13,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 2:14,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 2:15,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 2:16,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 2:17,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 2:18,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 2:19,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 2:20,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 2:21,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 2:22,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 2:23,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 2:24,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 2:25,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 2:26,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 2:27,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 2:28,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 2:29,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 2:30,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 2:31,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 2:32,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 2:33,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 2:34,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 2:35,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 2:36,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 2:37,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 2:38,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 2:39,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 2:40,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 2:41,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 2:42,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 2:43,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 2:44,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 2:45,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 2:46,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 2:47,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 2:48,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 2:49,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 2:50,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 2:51,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 2:52,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 2:53,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 2:54,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 2:55,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 2:56,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 2:57,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 2:58,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 2:59,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
